################################################################################
TREGO EGO RSO
19.289999999979 11.25 14.25
17.890000000014 11.859999999986 14.2800000000279
20.859999999986 13.070000000007 13.5599999999977
18.8699999999953 13.4099999999744 16.640000000014
12.7000000000116 12.5499999999884 15.8399999999674
17.4800000000396 13.9400000000023 14.75
20.25 15.109999999986 15.2700000000186
16.929999999993 12.2999999999884 12.890000000014
16.5499999999884 12.140000000014 13.9199999999837
14.5 12.9500000000116 13.570000000007
################################################################################
TREGO EGO RSO
32 14.109999999986 12.8500000000349
17.3999999999651 13.2200000000303 12.109999999986
17.3099999999977 14.320000000007 16.8699999999953
17.570000000007 13.3499999999767 13.390000000014
16.5899999999674 13.1100000000442 13.6999999999534
17.2200000000303 12.2999999999884 14.5900000000256
16.570000000007 11.5 13.6999999999534
19.8600000000442 13.6900000000023 14.109999999986
13.140000000014 12.2299999999814 14.4500000000116
18.6599999999744 11.3400000000256 15.8800000000047
