################################################################################
TREGO EGO RSO
19.8499999999767 11.2299999999814 18.5
18.2300000000396 10.7099999999627 19.0599999999977
21.1900000000023 10.6199999999953 3660.33000000002
22.0300000000279 13.0799999999581 41.3300000000163
50.7200000000303 29.8399999999674 55.2000000000116
47.929999999993 34.75 38.929999999993
43.0200000000186 27.2999999999884 18.210000000021
39.9100000000326 12.9199999999837 17.890000000014
19.7600000000093 11.4400000000023 14.25
16.8899999999558 10.7800000000279 16.2399999999907
20.9799999999814 11.8600000000442 18.5299999999697
17.2999999999884 10.640000000014 17.1300000000047
21.2600000000093 10.359999999986 15.7299999999814
17.3000000000466 10.859999999986 15.2999999999884
21.4400000000023 9.53999999997905 18.2200000000303
16.9500000000116 10.2699999999604 17.2200000000303
19.390000000014 9.82999999995809 17.5900000000256
20.4499999999534 12.9500000000116 18.859999999986
17.5200000000186 11.0300000000279 13.7299999999814
14.4099999999744 11.6900000000023 18.890000000014
21.75 10.5100000000093 18.5499999999884
18.1699999999837 12.2800000000279 17.359999999986
16.570000000007 13.0599999999977 17.3300000000163
18.0799999999581 11.7800000000279 17.4400000000023
17.0599999999977 10.9699999999721 10.6700000000419
18.75 9.88999999995576 17.890000000014
17.390000000014 12.7999999999884 17.640000000014
19.109999999986 10.9799999999814 17.4900000000489
14.3399999999674 10.2999999999884 18.0500000000466
20.109999999986 9.92999999999302 10.2999999999884
16.9700000000303 10.1999999999534 18.1300000000047
15.7000000000116 9.69000000000233 18.7600000000093
17.4400000000023 10.0200000000186 18.2299999999814
17.3899999999558 11.6700000000419 17.7799999999697
18.5300000000279 11.859999999986 17.9899999999907
12.039999999979 10.0800000000163 18.1300000000047
18.789999999979 10.9400000000023 47.8600000000442
18.1000000000349 8.89999999996508 11.6600000000326
22.75 11.390000000014 24.0799999999581
22.1100000000442 16.0099999999511 13.8000000000466
24.8800000000047 12.0899999999674 19.9199999999837
30.8699999999953 13.4400000000023 25.4400000000023
20.9899999999907 16.9799999999814 19.9100000000326
23.6900000000023 15.359999999986 20.820000000007
25.25 12.960000000021 14.929999999993
23.6399999999558 10.7700000000186 25.1900000000023
19.640000000014 22.8899999999558 13.1100000000442
22.25 16.4899999999907 15.0599999999977
20.9500000000116 18.6599999999744 14.0200000000186
25.7000000000116 11.2199999999721 20.4400000000023
25.6500000000233 12.6300000000047 24.4799999999814
19.7700000000186 12.8699999999953 24.6399999999558
21.960000000021 22.960000000021 18.2399999999907
25.7600000000093 10.9599999999627 17.2800000000279
24.7299999999814 13.5200000000186 28.4799999999814
16.9100000000326 16.4499999999534 22.390000000014
24.109999999986 21.539999999979 15.1100000000442
28.1900000000023 10.6399999999558 20.6100000000442
21.4500000000116 11.7000000000116 26.140000000014
14.609999999986 11.5 16.070000000007
22.1900000000023 13.9799999999814 22.8800000000047
25.4699999999721 18.8099999999977 21.0500000000466
27.0800000000163 17.0599999999977 24.1600000000326
29.7599999999511 13.4700000000303 28.2700000000186
20.0599999999977 17.3899999999558 23.5200000000186
27.5300000000279 12.0799999999581 25.2600000000093
36.9899999999907 14.6500000000233 31.140000000014
28.7099999999627 15.679999999993 26.6600000000326
27.4699999999721 16.2800000000279 24.0499999999884
15.4199999999837 15.0800000000163 18.2600000000093
25.0499999999884 19.5 20.109999999986
26.0999999999767 14.6600000000326 21.5800000000163
22.9099999999744 13.429999999993 22.820000000007
22.5300000000279 16.4499999999534 361.660000000033
34.8399999999674 17.5 26.8600000000442
19.7999999999884 11.289999999979 13.320000000007
15.5900000000256 10.7799999999697 16.3800000000047
18.6699999999837 12.2800000000279 11.6900000000023
16.6699999999837 11.75 19.4400000000023
21.7999999999884 13.4799999999814 20.210000000021
23.3099999999977 12.1500000000233 20.609999999986
21.359999999986 11.6300000000047 21.289999999979
19.0300000000279 14.0199999999604 20.8300000000163
24.179999999993 13.7399999999907 20.0300000000279
25.2199999999721 15.7800000000279 20.8300000000163
20.859999999986 14.7799999999697 16.1700000000419
22.6600000000326 15.0800000000163 18.3699999999953
23.9400000000023 13.6199999999953 18.8000000000466
15.7599999999511 11.3600000000442 15
19.7199999999721 11.5200000000186 19.9500000000116
19.4099999999744 11.7800000000279 21.0599999999977
24.6900000000023 11.1399999999558 21.2200000000303
18.2199999999721 12.0800000000163 18.8099999999977
21 12.0200000000186 20.2799999999697
21.2200000000303 12.609999999986 18.5800000000163
20.289999999979 17.4699999999721 15.5
20.2200000000303 14.0800000000163 15.8299999999581
22.8099999999977 14.3000000000466 18.609999999986
23.9199999999837 11.1900000000023 19.539999999979
21.6700000000419 13.859999999986 21.679999999993
